📡  辽宁联通,#genre#
海南卫视高清,http://119.119.45.159:8888/udp/232.0.0.26:1234
江西卫视高清,http://119.119.45.159:8888/udp/232.0.0.31:1234
河北卫视高清,http://119.119.45.159:8888/udp/232.0.0.32:1234
河南卫视高清,http://119.119.45.159:8888/udp/232.0.0.33:1234
云南卫视高清,http://119.119.45.159:8888/udp/232.0.0.37:1234
东南卫视高清,http://119.119.45.159:8888/udp/232.0.0.42:1234
黑龙江卫视ᴴᴰ,http://119.119.45.159:8888/udp/232.0.0.95:1234
深圳卫视高清,http://119.119.45.159:8888/udp/232.0.0.110:1234
湖南卫视高清,http://119.119.45.159:8888/udp/232.0.0.115:1234
江苏卫视高清,http://119.119.45.159:8888/udp/232.0.0.116:1234
北京卫视高清,http://119.119.45.159:8888/udp/232.0.0.117:1234
东方卫视高清,http://119.119.45.159:8888/udp/232.0.0.122:1234
浙江卫视高清,http://119.119.45.159:8888/udp/232.0.0.123:1234
湖北卫视高清,http://119.119.45.159:8888/udp/232.0.0.124:1234
天津卫视高清,http://119.119.45.159:8888/udp/232.0.0.125:1234
辽宁卫视高清,http://119.119.45.159:8888/udp/232.0.0.126:1234
广东卫视高清,http://119.119.45.159:8888/udp/232.0.0.130:1234
山东卫视高清,http://119.119.45.159:8888/udp/232.0.0.131:1234
安徽卫视高清,http://119.119.45.159:8888/udp/232.0.0.141:1234
吉林卫视高清,http://119.119.45.159:8888/udp/232.0.0.180:1234
贵州卫视高清,http://119.119.45.159:8888/udp/232.0.0.181:1234
四川卫视高清,http://119.119.45.159:8888/udp/232.0.0.185:1234
重庆卫视高清,http://119.119.45.159:8888/udp/232.0.0.186:1234
辽宁影视高清,http://119.119.45.159:8888/udp/232.0.0.25:1234
辽宁宜佳购物,http://119.119.45.159:8888/udp/232.0.0.30:1234
辽宁生活高清,http://119.119.45.159:8888/udp/232.0.0.150:1234
辽宁北方高清,http://119.119.45.159:8888/udp/232.0.0.151:1234
辽宁都市高清,http://119.119.45.159:8888/udp/232.0.0.154:1234
辽宁经济高清,http://119.119.45.159:8888/udp/232.0.0.156:1234
辽宁体育高清,http://119.119.45.159:8888/udp/232.0.0.164:1234
辽宁移动电视,http://119.119.45.159:8888/udp/232.0.0.165:1234
辽宁公共高清,http://119.119.45.159:8888/udp/232.0.0.168:1234
辽宁体育高清,http://119.119.45.159:8888/udp/232.0.0.216:1234
辽宁教育高清,http://119.119.45.159:8888/udp/232.0.0.241:1234
沈阳新闻综合,http://119.119.45.159:8888/udp/232.0.0.206:1234
晴彩竞技高清,http://119.119.45.159:8888/udp/232.0.0.19:1234
晴彩篮球高清,http://119.119.45.159:8888/udp/232.0.0.24:1234
动漫频道高清,http://119.119.45.159:8888/udp/232.0.0.36:1234
家庭理财高清,http://119.119.45.159:8888/udp/232.0.0.39:1234
中教四台高清,http://119.119.45.159:8888/udp/232.0.0.46:1234
卡酷卡通高清,http://119.119.45.159:8888/udp/232.0.0.54:1234
晴彩青少高清,http://119.119.45.159:8888/udp/232.0.0.62:1234
晴彩广场舞ᴴᴰ,http://119.119.45.159:8888/udp/232.0.0.64:1234
金鹰卡通高清,http://119.119.45.159:8888/udp/232.0.0.90:1234
欢笑剧场—4K,http://119.119.45.159:8888/udp/232.0.0.98:1234
生活时尚高清,http://119.119.45.159:8888/udp/232.0.0.107:1234
上海乐游高清,http://119.119.45.159:8888/udp/232.0.0.108:1234
纪实人文高清,http://119.119.45.159:8888/udp/232.0.0.132:1234
金色学堂高清,http://119.119.45.159:8888/udp/232.0.0.133:1234
法治天地高清,http://119.119.45.159:8888/udp/232.0.0.134:1234
都市剧场高清,http://119.119.45.159:8888/udp/232.0.0.149:1234
纪实科教高清,http://119.119.45.159:8888/udp/232.0.0.162:1234
金鹰纪实高清,http://119.119.45.159:8888/udp/232.0.0.163:1234
爱上测试—4K,http://119.119.45.159:8888/udp/232.0.0.187:1234
中教一台高清,http://119.119.45.159:8888/udp/232.0.0.212:1234
